date,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_share
2022-11-17,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,16711.92,321049525470,1,350963991416.0,23131216735.0,16728.01,16417.31,98.92,0.59541,2299287787.0,0.72134,19210062.0,21000000.0,21000000.0,69045.0,-75.88328,2021-11-10T14:24:11.849Z,67.81,24456.23247,2013-07-06T00:00:00.000Z,,2022-11-17T18:14:40.209Z,0.391081615205909
2022-11-17,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1211.64,145941449237,2,145941449237.0,7340676321.0,1226.09,1189.26,-5.109318749748809,-0.41992,-633217272.8209839,-0.43201,120514479.512872,120514479.512872,,4878.26,-75.22867,2021-11-10T14:24:19.604Z,0.432979,278992.12203,2015-10-20T00:00:00.000Z,"{'times': 95.93213764972629, 'currency': 'btc', 'percentage': 9593.213764972628}",2022-11-17T18:14:31.182Z,0.17777636521823928
2022-11-17,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.999971,65917843623,3,65917843623.0,31056687909.0,1.003,0.994244,-0.0001074666286629,-0.01075,-195333348.03665924,-0.29545,65944685875.6235,65944685875.6235,,1.32,-24.4289,2018-07-24T00:00:00.000Z,0.572521,74.64473,2015-03-02T00:00:00.000Z,,2022-11-17T18:10:21.152Z,0.08029682248317876
2022-11-17,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.001,44369904429,4,44360466613.0,2735474854.0,1.005,0.994475,0.00069844,0.06985,-135941656.17809296,-0.30545,44331057169.4025,44321627616.3901,,1.17,-14.64422,2019-05-08T00:40:28.300Z,0.891848,12.23578,2021-05-19T13:14:05.611Z,,2022-11-17T18:14:38.054Z,0.05404852682844594
2022-11-17,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,268.55,43803099457,5,53654962135.0,936969900.0,273.64,265.02,-4.933773843762992,-1.80403,-825507217.041954,-1.84973,163276974.63,163276974.63,200000000.0,686.31,-60.92299,2021-05-10T07:24:17.097Z,0.0398177,673439.92229,2017-10-19T00:00:00.000Z,,2022-11-17T18:14:38.463Z,0.05335808193950867
2022-11-17,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.002,23021869972,6,23021869972.0,6390879822.0,1.004,0.996572,-0.000301086117929561,-0.03005,-202829720.43577576,-0.87334,22986381718.44,22986381718.44,,1.15,-13.3035,2020-03-13T02:35:42.953Z,0.901127,11.04475,2021-05-19T13:04:37.445Z,,2022-11-17T18:14:39.083Z,0.028043742100318063
2022-11-17,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.377992,18962143646,7,37748825742.0,1397607310.0,0.385687,0.369683,0.00618571,1.66369,281942680.0,1.50931,50232406634.0,99989224981.0,100000000000.0,3.4,-88.94448,2018-01-07T00:00:00.000Z,0.00268621,13886.87782,2014-05-22T00:00:00.000Z,,2022-11-17T18:14:32.117Z,0.023098447985518352
2022-11-17,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.085013,11610075010,8,,607350688.0,0.087346,0.083397,-0.000682440278559807,-0.79636,-109921443.68984032,-0.9379,136939436383.705,,,0.731578,-88.42429,2021-05-08T05:08:23.458Z,8.69e-05,97347.28468,2015-05-06T00:00:00.000Z,,2022-11-17T18:14:33.492Z,0.014142636968316713
2022-11-17,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.327386,11465165632,9,14721990206.0,257807378.0,0.334559,0.320816,-0.003898233178126265,-1.1767,-155674211.2670288,-1.33961,35045020830.3234,45000000000.0,45000000000.0,3.09,-89.4178,2021-09-02T06:00:10.474Z,0.01925275,1596.70955,2020-03-13T02:22:55.044Z,,2022-11-17T18:14:29.692Z,0.013966117805038836
2022-11-17,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.886526,7854105419,10,8855942116.0,524839085.0,0.911884,0.86856,-0.011326400630169433,-1.2615,-97637954.46001053,-1.22788,8868740690.28493,10000000000.0,10000000000.0,2.92,-69.73656,2021-12-27T02:08:34.307Z,0.00314376,27973.4386,2019-05-10T00:00:00.000Z,"{'times': 336.08208087272914, 'currency': 'usd', 'percentage': 33608.20808727291}",2022-11-17T18:14:24.017Z,0.009567359518016242
2022-11-17,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,5.71,6679849496,11,7141514184.0,159511644.0,5.73,5.6,0.00665091,0.11658,1857079.0,0.02781,1171167548.13281,1252110494.67686,,54.98,-89.65021,2021-11-04T14:10:09.301Z,2.7,110.95458,2020-08-20T05:48:11.359Z,,2022-11-17T18:14:41.941Z,0.008136957456653104
