date,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_share
2022-12-07,mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,0.548913,420126815,86,539077245.0,9158340.0,0.570664,0.546496,-0.021750301807146877,-3.8114,-16707014.460595787,-3.82457,765448231.840039,982169452.840039,,9.09,-93.95518,2021-06-01T01:42:37.064Z,0.496008,10.78333,2022-11-22T11:21:54.771Z,,2022-12-07T14:59:47.389Z,0.0005068745105403005
2022-12-07,radix,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1629701658,0.04188072,419873850,87,1002902002.0,465277.0,0.04353206,0.03601854,0.00557748,15.36358,59024140.0,16.35699,10047813620.3868,12447831581.9502,24000000000.0,0.651264,-93.58966,2021-11-14T16:09:27.130Z,0.03145312,32.73152,2022-11-29T23:20:09.754Z,,2022-12-07T14:59:48.824Z,0.0005065693133808218
2022-12-07,btse-token,btse,BTSE Token,https://assets.coingecko.com/coins/images/10807/large/BTSE_logo_Square.jpeg?1583965964,2.58,417210198,88,514878852.0,7819.56,2.69,2.54,0.00094722,0.03672,-894638.9143402576,-0.21397,162061501.0,200000000.0,200000000.0,9.21,-72.05853,2022-03-23T09:11:07.549Z,0.631269,307.86038,2020-12-13T14:22:21.597Z,"{'times': 0.290372912418093, 'currency': 'usd', 'percentage': 29.0372912418093}",2022-12-07T14:59:39.825Z,0.0005033556710815326
2022-12-07,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,1.38,414934476,89,689946296.0,44630792.0,1.39,1.33,0.00010246,0.00744,271481.0,0.06547,300700561.0,500000000.0,500000000.0,20.87,-93.37932,2021-05-19T00:30:09.436Z,0.00851264,16129.70278,2019-09-28T00:00:00.000Z,"{'times': 35.24021293240255, 'currency': 'usd', 'percentage': 3524.021293240255}",2022-12-07T14:59:43.603Z,0.0005006100584862599
2022-12-07,frax-share,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/ethCanonicalFXS.png?1669276861,5.72,411174965,90,569524217.0,14211294.0,5.73,5.25,0.370877,6.93406,25862471.0,6.71208,72068422.6551179,99822984.1145714,99822984.1145714,42.8,-86.64916,2022-01-12T15:22:27.465Z,1.5,280.14105,2021-06-25T16:50:51.447Z,,2022-12-07T14:59:48.390Z,0.0004960742844533744
2022-12-07,ethereum-pow-iou,ethw,EthereumPoW,https://assets.coingecko.com/coins/images/26997/large/logo-clear.png?1661311105,3.63,389870730,91,389871006.0,10634743.0,3.8,3.6,-0.0986280139627489,-2.64231,-11766465.868668616,-2.92963,107462765.04993,107462841.04993,,58.54,-93.79995,2022-09-03T00:10:33.722Z,3.14,15.66743,2022-11-22T10:06:25.972Z,,2022-12-07T14:59:47.649Z,0.0004703711555348822
2022-12-07,rocket-pool,rpl,Rocket Pool,https://assets.coingecko.com/coins/images/2090/large/rocket_pool_%28RPL%29.png?1637662441,19.94,378550396,92,378550396.0,812935.0,20.39,19.55,0.0369301,0.18551,-1174257.9419919848,-0.30924,18970871.601094,18970871.601094,18970871.601094,59.46,-66.40019,2021-11-09T04:03:31.003Z,0.00884718,225701.28066,2018-08-28T00:00:00.000Z,,2022-12-07T14:59:52.146Z,0.0004567134013746229
2022-12-07,nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,0.651722,363045244,93,648295066.0,17347559.0,0.675031,0.614511,-0.016503897032249748,-2.46981,-11695608.206610024,-3.12099,560000010.0064,1000000000.0,1000000000.0,4.07,-84.05503,2021-05-12T14:37:47.535Z,0.04515276,1336.538,2018-09-13T00:00:00.000Z,"{'times': 5.517215667625176, 'currency': 'usd', 'percentage': 551.7215667625176}",2022-12-07T14:59:49.669Z,0.0004380067488824392
2022-12-07,ethereum-name-service,ens,Ethereum Name Service,https://assets.coingecko.com/coins/images/19785/large/acatxTm8_400x400.jpg?1635850140,13.4,345064021,94,1338327185.0,30692746.0,13.84,13.24,-0.36225555060438275,-2.63282,-9667199.119155526,-2.72522,25783233.34309683,100000000.0,100000000.0,83.4,-83.92682,2021-11-11T02:20:01.099Z,7.45,79.87966,2022-06-14T02:00:36.378Z,,2022-12-07T14:59:51.247Z,0.0004163127667760102
2022-12-07,1inch,1inch,1inch,https://assets.coingecko.com/coins/images/13469/large/1inch-token.png?1608803028,0.450566,341540265,95,675131260.0,46478520.0,0.478954,0.445447,-0.028387800264336183,-5.92704,4958538.0,1.4732,758830804.609747,1500000000.0,1500000000.0,8.65,-94.78461,2021-10-27T08:24:54.808Z,0.445447,1.29512,2022-12-07T08:05:21.246Z,,2022-12-07T14:59:48.946Z,0.00041206142638545827
2022-12-07,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,0.252858,340810566,96,459769475.0,8490259.0,0.261887,0.243541,-0.004553411613965775,-1.76893,-6128480.139860094,-1.76644,1347617974.35783,1352464600.0,1818000000.0,3.39,-92.49566,2021-12-01T01:32:34.725Z,0.04559639,457.87275,2020-03-13T02:29:26.415Z,"{'times': 1.1071478456239767, 'currency': 'usd', 'percentage': 110.71478456239767}",2022-12-07T14:59:50.044Z,0.00041118105929090193
2022-12-07,basic-attention-token,bat,Basic Attention,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,0.224249,334369666,97,336439135.0,17524110.0,0.234225,0.221429,-0.008749360298627247,-3.75512,-12809112.249170244,-3.68949,1490773355.4163349,1500000000.0,1500000000.0,1.9,-88.17045,2021-11-28T00:23:51.354Z,0.072394,210.5615,2017-07-16T00:00:00.000Z,"{'times': 0.1621916539835501, 'currency': 'eth', 'percentage': 16.21916539835501}",2022-12-07T14:59:52.052Z,0.00040341024362673396
2022-12-07,zilliqa,zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,0.02199106,333285737,98,461587717.0,26225831.0,0.02276892,0.02147816,-0.000734118485019784,-3.23042,-11145561.009527922,-3.23593,15162882837.166,21000000000.0,21000000000.0,0.255376,-91.37296,2021-05-06T17:33:45.940Z,0.00239616,819.44571,2020-03-13T02:22:55.161Z,"{'times': 1.1024715145891855, 'currency': 'eth', 'percentage': 110.24715145891854}",2022-12-07T14:59:47.197Z,0.00040210250519700423
2022-12-07,immutable-x,imx,ImmutableX,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1665110648,0.452868,329786905,99,905885206.0,8308679.0,0.488424,0.451863,-0.030689977130697432,-6.3467,-23035980.309687734,-6.52905,728098664.7800242,2000000000.0,2000000000.0,9.52,-95.23455,2021-11-26T01:03:01.536Z,0.379749,19.46542,2022-11-21T02:34:18.783Z,,2022-12-07T14:59:46.211Z,0.00039788123510867926
2022-12-07,bitdao,bit,BitDAO,https://assets.coingecko.com/coins/images/17627/large/rI_YptK8.png?1653983088,0.297391,319917257,100,2974848810.0,8611713.0,0.308863,0.292307,-0.004969629052618497,-1.64361,-4794855.2445703745,-1.47665,1075406778.1407099,10000000000.0,10000000000.0,3.1,-90.35845,2021-11-12T04:54:56.433Z,0.270167,10.70897,2022-11-22T08:40:21.230Z,,2022-12-07T14:59:52.569Z,0.0003859737042856228
