date,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_share
2022-12-25,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,16829.34,323830337937,1,353399694239.0,9591999478.0,16867.95,16822.85,-5.982560354470479,-0.03554,-127448928.7600708,-0.03934,19242906.0,21000000.0,21000000.0,69045.0,-75.6266,2021-11-10T14:24:11.849Z,67.81,24717.58597,2013-07-06T00:00:00.000Z,,2022-12-25T12:48:56.453Z,0.404701508739006
2022-12-25,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1219.39,146978829198,2,146978829198.0,2282684264.0,1226.11,1217.98,0.056211,0.00461,39567803.0,0.02693,120523982.078808,120523982.078808,,4878.26,-75.00699,2021-11-10T14:24:19.604Z,0.432979,281489.79779,2015-10-20T00:00:00.000Z,"{'times': 95.87511970918902, 'currency': 'btc', 'percentage': 9587.511970918902}",2022-12-25T12:48:56.725Z,0.1836843153981928
2022-12-25,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,1.0,66286892639,3,66286892639.0,11605563208.0,1.003,0.999426,-0.000221551500316997,-0.02214,-6725133.058639526,-0.01014,66247647089.7764,66247647089.7764,,1.32,-24.37488,2018-07-24T00:00:00.000Z,0.572521,74.76956,2015-03-02T00:00:00.000Z,,2022-12-25T12:45:17.811Z,0.08284092723221871
2022-12-25,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.001,44310341293,4,44314093409.0,1072079032.0,1.004,0.999497,-0.000166169400482197,-0.0166,117909040.0,0.26681,44280956364.5398,44284705992.3798,,1.17,-14.65184,2019-05-08T00:40:28.300Z,0.891848,12.22575,2021-05-19T13:14:05.611Z,,2022-12-25T12:48:55.917Z,0.05537610246235198
2022-12-25,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,244.83,39953508408,5,48939550109.0,208350049.0,245.76,244.07,0.550903,0.22553,111967372.0,0.28103,163276974.63,163276974.63,200000000.0,686.31,-64.34571,2021-05-10T07:24:17.097Z,0.0398177,614445.20936,2017-10-19T00:00:00.000Z,,2022-12-25T12:48:57.939Z,0.04993122397099135
2022-12-25,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.348551,17536851790,6,34834390962.0,251346477.0,0.35374,0.347996,-0.004261025476438696,-1.20773,-218889758.0380211,-1.23278,50343500506.0,99989184828.0,100000000000.0,3.4,-89.75212,2018-01-07T00:00:00.000Z,0.00268621,12865.09077,2014-05-22T00:00:00.000Z,,2022-12-25T12:48:56.275Z,0.02191638505261379
2022-12-25,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.001,17476508596,7,17476508596.0,2498918694.0,1.003,0.999902,-9.684548061939e-05,-0.00968,-82320757.73742676,-0.46883,17469171886.89,17469171886.89,,1.15,-13.30987,2020-03-13T02:35:42.953Z,0.901127,11.03659,2021-05-19T13:04:37.445Z,,2022-12-25T12:48:54.005Z,0.021840972162612476
2022-12-25,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.076743,10548766809,8,,249988034.0,0.078088,0.076522,-0.00059725142177873,-0.77224,-74522390.14303017,-0.7015,137449186383.705,,,0.731578,-89.51169,2021-05-08T05:08:23.458Z,8.69e-05,88193.30278,2015-05-06T00:00:00.000Z,,2022-12-25T12:48:54.710Z,0.013183143587271889
2022-12-25,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.259077,9074995702,9,11652862430.0,88251461.0,0.260279,0.258023,0.00034906,0.13491,13914419.0,0.15356,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.61127,2021-09-02T06:00:10.474Z,0.01925275,1245.01585,2020-03-13T02:22:55.044Z,,2022-12-25T12:48:53.487Z,0.011341322977323695
2022-12-25,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.79727,7134579997,10,7957843523.0,91153059.0,0.801038,0.795072,0.00052011,0.06528,661082.0,0.00927,8965469069.28493,10000000000.0,10000000000.0,2.92,-72.7125,2021-12-27T02:08:34.307Z,0.00314376,25212.84584,2019-05-10T00:00:00.000Z,"{'times': 302.144387852814, 'currency': 'usd', 'percentage': 30214.438785281403}",2022-12-25T12:48:47.834Z,0.008916321143347481
