end,start,tweet_count,query
2022-12-09T00:00:00.000Z,2022-12-08T16:38:52.000Z,73133,Bitcoin
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,203598,Bitcoin
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,192275,Bitcoin
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,196003,Bitcoin
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,236217,Bitcoin
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,250830,Bitcoin
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,261626,Bitcoin
2022-12-15T16:38:52.000Z,2022-12-15T00:00:00.000Z,163867,Bitcoin
2022-12-09T00:00:00.000Z,2022-12-08T16:38:52.000Z,47530,Ethereum
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,172038,Ethereum
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,134476,Ethereum
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,124231,Ethereum
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,172463,Ethereum
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,119340,Ethereum
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,139451,Ethereum
2022-12-15T16:38:52.000Z,2022-12-15T00:00:00.000Z,88680,Ethereum
2022-12-09T00:00:00.000Z,2022-12-08T16:38:53.000Z,1711,Tether
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,9531,Tether
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,5634,Tether
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,4936,Tether
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,6190,Tether
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,13358,Tether
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,7736,Tether
2022-12-15T16:38:53.000Z,2022-12-15T00:00:00.000Z,5293,Tether
2022-12-09T00:00:00.000Z,2022-12-08T16:38:53.000Z,253,USD Coin
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,4902,USD Coin
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,585,USD Coin
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,559,USD Coin
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,589,USD Coin
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,932,USD Coin
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,431,USD Coin
2022-12-15T16:38:53.000Z,2022-12-15T00:00:00.000Z,229,USD Coin
2022-12-09T00:00:00.000Z,2022-12-08T16:38:53.000Z,64354,BNB
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,194763,BNB
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,172144,BNB
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,160489,BNB
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,154446,BNB
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,181873,BNB
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,162352,BNB
2022-12-15T16:38:53.000Z,2022-12-15T00:00:00.000Z,119544,BNB
2022-12-09T00:00:00.000Z,2022-12-08T16:38:53.000Z,17135,XRP
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,41036,XRP
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,42886,XRP
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,38155,XRP
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,40302,XRP
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,50556,XRP
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,45352,XRP
2022-12-15T16:38:53.000Z,2022-12-15T00:00:00.000Z,31798,XRP
2022-12-09T00:00:00.000Z,2022-12-08T16:38:54.000Z,293,Binance USD
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,873,Binance USD
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,795,Binance USD
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,531,Binance USD
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,1041,Binance USD
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,3766,Binance USD
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,1320,Binance USD
2022-12-15T16:38:54.000Z,2022-12-15T00:00:00.000Z,627,Binance USD
2022-12-09T00:00:00.000Z,2022-12-08T16:38:54.000Z,8674,Dogecoin
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,29890,Dogecoin
