end,start,tweet_count,query
2022-10-29T00:00:00.000Z,2022-10-28T19:52:35.000Z,40450,Bitcoin
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,227542,Bitcoin
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,209209,Bitcoin
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,345833,Bitcoin
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,284827,Bitcoin
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,281846,Bitcoin
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,274023,Bitcoin
2022-11-04T19:52:35.000Z,2022-11-04T00:00:00.000Z,238232,Bitcoin
2022-10-29T00:00:00.000Z,2022-10-28T19:52:36.000Z,24873,Ethereum
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,150291,Ethereum
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,153671,Ethereum
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,177185,Ethereum
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,209113,Ethereum
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,187143,Ethereum
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,214517,Ethereum
2022-11-04T19:52:36.000Z,2022-11-04T00:00:00.000Z,235119,Ethereum
2022-10-29T00:00:00.000Z,2022-10-28T19:52:36.000Z,819,Tether
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,4062,Tether
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,3930,Tether
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,7463,Tether
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,6092,Tether
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,7836,Tether
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,4091,Tether
2022-11-04T19:52:36.000Z,2022-11-04T00:00:00.000Z,2981,Tether
2022-10-29T00:00:00.000Z,2022-10-28T19:52:36.000Z,34690,BNB
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,299482,BNB
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,255488,BNB
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,321437,BNB
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,333848,BNB
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,284190,BNB
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,266489,BNB
2022-11-04T19:52:36.000Z,2022-11-04T00:00:00.000Z,249506,BNB
2022-10-29T00:00:00.000Z,2022-10-28T19:52:37.000Z,39,USD Coin
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,312,USD Coin
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,431,USD Coin
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,468,USD Coin
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,353,USD Coin
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,505,USD Coin
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,1409,USD Coin
2022-11-04T19:52:37.000Z,2022-11-04T00:00:00.000Z,792,USD Coin
2022-10-29T00:00:00.000Z,2022-10-28T19:52:37.000Z,8971,XRP
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,62037,XRP
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,50023,XRP
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,76377,XRP
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,98485,XRP
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,87176,XRP
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,94691,XRP
2022-11-04T19:52:37.000Z,2022-11-04T00:00:00.000Z,88348,XRP
2022-10-29T00:00:00.000Z,2022-10-28T19:52:37.000Z,123,Binance USD
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,718,Binance USD
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,1050,Binance USD
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,851,Binance USD
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,1222,Binance USD
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,1727,Binance USD
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,1179,Binance USD
2022-11-04T19:52:37.000Z,2022-11-04T00:00:00.000Z,749,Binance USD
2022-10-29T00:00:00.000Z,2022-10-28T19:52:37.000Z,11754,Dogecoin
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,180085,Dogecoin
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,168815,Dogecoin
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,101248,Dogecoin
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,117211,Dogecoin
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,120734,Dogecoin
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,84807,Dogecoin
2022-11-04T19:52:37.000Z,2022-11-04T00:00:00.000Z,60929,Dogecoin
2022-10-29T00:00:00.000Z,2022-10-28T19:52:38.000Z,5138,Cardano
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,31964,Cardano
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,32518,Cardano
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,33793,Cardano
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,31765,Cardano
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,31824,Cardano
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,36426,Cardano
2022-11-04T19:52:38.000Z,2022-11-04T00:00:00.000Z,33918,Cardano
2022-10-29T00:00:00.000Z,2022-10-28T19:52:38.000Z,14871,Solana
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,76762,Solana
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,84301,Solana
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,98071,Solana
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,94692,Solana
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,94728,Solana
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,118649,Solana
2022-11-04T19:52:38.000Z,2022-11-04T00:00:00.000Z,97306,Solana
2022-10-29T00:00:00.000Z,2022-10-28T19:52:38.000Z,3987,Polygon
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,30286,Polygon
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,23013,Polygon
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,25714,Polygon
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,23999,Polygon
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,46662,Polygon
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,67692,Polygon
2022-11-04T19:52:38.000Z,2022-11-04T00:00:00.000Z,58353,Polygon
2022-10-29T00:00:00.000Z,2022-10-28T19:52:39.000Z,777,Polkadot
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,4682,Polkadot
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,5972,Polkadot
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,4956,Polkadot
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,7038,Polkadot
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,8727,Polkadot
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,7316,Polkadot
2022-11-04T19:52:39.000Z,2022-11-04T00:00:00.000Z,6445,Polkadot
2022-10-29T00:00:00.000Z,2022-10-28T19:52:39.000Z,0,Lido Staked Ether
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,5,Lido Staked Ether
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,12,Lido Staked Ether
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,3,Lido Staked Ether
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,2,Lido Staked Ether
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,7,Lido Staked Ether
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,6,Lido Staked Ether
2022-11-04T19:52:39.000Z,2022-11-04T00:00:00.000Z,4,Lido Staked Ether
2022-10-29T00:00:00.000Z,2022-10-28T19:52:39.000Z,977,Shiba Inu
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,9061,Shiba Inu
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,6698,Shiba Inu
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,7600,Shiba Inu
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,9919,Shiba Inu
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,7731,Shiba Inu
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,11053,Shiba Inu
2022-11-04T19:52:39.000Z,2022-11-04T00:00:00.000Z,5371,Shiba Inu
2022-10-29T00:00:00.000Z,2022-10-28T19:52:39.000Z,4110,TRON
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,10156,TRON
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,10956,TRON
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,14513,TRON
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,10936,TRON
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,11383,TRON
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,10299,TRON
2022-11-04T19:52:39.000Z,2022-11-04T00:00:00.000Z,9359,TRON
2022-10-29T00:00:00.000Z,2022-10-28T19:52:39.000Z,2571,Avalanche
2022-10-30T00:00:00.000Z,2022-10-29T00:00:00.000Z,12559,Avalanche
2022-10-31T00:00:00.000Z,2022-10-30T00:00:00.000Z,16998,Avalanche
2022-11-01T00:00:00.000Z,2022-10-31T00:00:00.000Z,12881,Avalanche
2022-11-02T00:00:00.000Z,2022-11-01T00:00:00.000Z,11860,Avalanche
2022-11-03T00:00:00.000Z,2022-11-02T00:00:00.000Z,11673,Avalanche
2022-11-04T00:00:00.000Z,2022-11-03T00:00:00.000Z,12796,Avalanche
2022-11-04T19:52:39.000Z,2022-11-04T00:00:00.000Z,16376,Avalanche
2022-10-29T00:00:00.000Z,2022-10-28T19:52:40.000Z,23966,Uniswap
