date,asset,issuer,holders
2022-11-09,SOL,Valour,9650
2022-11-04,BTC,21Shares,220
2022-11-04,BTC,XBT,39276
2022-11-04,BTC,ETCGr,243
2022-11-04,BTC,Valour,21525
2022-11-04,BTC,VanEck,50
2022-11-04,BTC,WisdTree,26
2022-11-04,ETH,21Shares,62
2022-11-04,ETH,XBT,43711
2022-11-04,ETH,Valour,11987
2022-11-04,ETH,WisdTree,32
2022-11-04,BNB,21Shares,26
2022-11-04,XTZ,21Shares,6
2022-11-04,AVAX,Valour,672
2022-11-04,ADA,Valour,14920
2022-11-04,DOT,Valour,6678
2022-11-04,SOL,Valour,9544
2022-10-28,BTC,21Shares,220
2022-10-28,BTC,XBT,39291
2022-10-28,BTC,ETCGr,242
2022-10-28,BTC,Valour,21559
2022-10-28,BTC,VanEck,50
2022-10-28,BTC,WisdTree,26
2022-10-28,ETH,21Shares,62
2022-10-28,ETH,XBT,43821
2022-10-28,ETH,Valour,12016
2022-10-28,ETH,WisdTree,32
2022-10-28,BNB,21Shares,21
2022-10-28,AVAX,Valour,663
2022-10-28,ADA,Valour,14939
2022-10-28,DOT,Valour,6665
2022-10-28,SOL,Valour,9532
