Date,Open,High,Low,Close
10/30/2020,93.92,94.08,93.65,94.04
10/29/2020,93.46,94.1,93.34,93.96
10/28/2020,93.15,93.65,93.05,93.41
10/27/2020,93.07,93.13,92.79,92.94
10/26/2020,92.76,93.11,92.74,93.05
10/23/2020,92.93,93.13,92.66,92.77
10/22/2020,92.67,92.97,92.61,92.95
10/21/2020,93.05,93.07,92.47,92.61
10/20/2020,93.42,93.5,93,93.07
10/19/2020,93.71,93.77,93.21,93.43
10/16/2020,93.8,93.88,93.53,93.68
10/15/2020,93.43,93.9,93.37,93.86
10/14/2020,93.54,93.67,93.25,93.38
10/13/2020,93.03,93.6,93.03,93.53
10/12/2020,93.06,93.24,93.01,93.07
10/9/2020,93.56,93.59,93.01,93.06
10/8/2020,93.61,93.78,93.5,93.61
10/7/2020,93.83,93.9,93.56,93.63
10/6/2020,93.44,93.85,93.34,93.69
10/5/2020,93.87,93.87,93.37,93.51
10/2/2020,93.73,94.03,93.69,93.84
10/1/2020,93.8,93.92,93.53,93.71
9/30/2020,93.85,94.19,93.67,93.89
9/29/2020,94.24,94.3,93.82,93.89
9/28/2020,94.6,94.64,94.15,94.28
9/25/2020,94.32,94.74,94.19,94.64
9/24/2020,94.38,94.59,94.2,94.35
9/23/2020,93.99,94.43,93.93,94.39
9/22/2020,93.55,94.08,93.47,93.99
9/21/2020,92.97,93.78,92.75,93.66
9/18/2020,92.86,93.01,92.77,92.93
9/17/2020,93.15,93.59,92.87,92.97
9/16/2020,93.08,93.28,92.78,93.21
9/15/2020,93.06,93.14,92.79,93.05
9/14/2020,93.29,93.33,92.87,93.05
9/11/2020,93.33,93.38,93.1,93.33
9/10/2020,93.23,93.45,92.7,93.34
9/9/2020,93.58,93.66,93.14,93.26
9/8/2020,93.05,93.52,93,93.45
9/7/2020,92.98,93.09,92.81,93.07
9/4/2020,92.8,93.24,92.66,92.72
9/3/2020,92.66,93.07,92.65,92.74
9/2/2020,92.28,92.87,92.21,92.85
9/1/2020,92.18,92.4,91.75,92.34
8/31/2020,92.3,92.48,91.99,92.14
8/28/2020,93.02,93.1,92.2,92.37
8/27/2020,92.85,93.32,92.42,93
8/26/2020,93.02,93.36,92.85,93.01
8/25/2020,93.28,93.35,92.97,93.02
8/24/2020,93.2,93.34,92.84,93.3
8/21/2020,92.72,93.47,92.58,93.25
8/20/2020,92.96,93.24,92.73,92.79
8/19/2020,92.28,93.05,92.15,92.89
8/18/2020,92.82,92.82,92.13,92.27
8/17/2020,93.07,93.12,92.77,92.85
8/14/2020,93.22,93.41,93.02,93.1
8/13/2020,93.37,93.39,92.93,93.34
8/12/2020,93.68,93.91,93.27,93.44
8/11/2020,93.6,93.74,93.17,93.63
8/10/2020,93.39,93.7,93.3,93.58
8/7/2020,92.81,93.62,92.76,93.44
8/6/2020,92.77,93.09,92.52,92.79
8/5/2020,93.23,93.25,92.56,92.87
8/4/2020,93.58,93.83,93.23,93.38
8/3/2020,93.46,93.99,93.32,93.35
7/31/2020,92.82,93.54,92.55,93.35
7/30/2020,93.32,93.68,92.93,93.02
7/29/2020,93.75,93.8,93.18,93.45
7/28/2020,93.58,94.01,93.49,93.7
7/27/2020,94.35,94.42,93.48,93.67
7/24/2020,94.77,94.83,94.33,94.44
7/23/2020,94.98,95.18,94.59,94.69
7/22/2020,95.13,95.41,94.83,94.99
7/21/2020,95.75,95.92,95.05,95.12
7/20/2020,96.01,96.18,95.73,95.83
7/17/2020,96.28,96.33,95.9,95.94
7/16/2020,96,96.4,95.89,96.35
7/15/2020,96.17,96.25,95.78,96.08
7/14/2020,96.54,96.7,96.18,96.26
7/13/2020,96.66,96.68,96.27,96.46
7/10/2020,96.75,96.97,96.44,96.65
7/9/2020,96.45,96.81,96.24,96.7
7/8/2020,96.99,97.05,96.4,96.43
7/7/2020,96.75,97.15,96.6,96.88
7/6/2020,97.15,97.2,96.57,96.73
7/3/2020,97.22,97.36,97.12,97.17
7/2/2020,97.15,97.34,96.81,97.32
7/1/2020,97.39,97.62,97.03,97.2
6/30/2020,97.4,97.8,97.23,97.39
6/29/2020,97.5,97.65,97.11,97.54
6/26/2020,97.35,97.68,97.26,97.43
6/25/2020,97.24,97.6,97.16,97.43
6/24/2020,96.66,97.24,96.55,97.15
6/23/2020,96.93,97.25,96.39,96.65
6/22/2020,97.66,97.74,97.01,97.04
6/19/2020,97.42,97.72,97.16,97.62
6/18/2020,97.08,97.58,96.95,97.42
6/17/2020,97.01,97.34,96.8,97.16
6/16/2020,96.56,97.25,96.43,96.96
6/15/2020,97.09,97.39,96.6,96.71
6/12/2020,96.81,97.45,96.49,97.32
6/11/2020,96.09,96.83,95.95,96.73
6/10/2020,96.43,96.46,95.72,95.96
6/9/2020,96.63,97.06,96.23,96.32
6/8/2020,96.84,97.07,96.6,96.62
6/5/2020,96.74,97.03,96.44,96.94
6/4/2020,97.32,97.63,96.57,96.68
6/3/2020,97.57,97.63,97.19,97.28
6/2/2020,97.84,97.91,97.43,97.67
6/1/2020,98.3,98.32,97.79,97.83
5/29/2020,98.52,98.55,97.95,98.34
5/28/2020,98.91,99.09,98.35,98.38
5/27/2020,99.02,99.34,98.72,99.06
5/26/2020,99.77,99.77,98.9,98.91
5/25/2020,99.8,99.98,99.69,99.86
5/22/2020,99.42,99.87,99.39,99.86
5/21/2020,99.18,99.51,99.02,99.37
5/20/2020,99.55,99.56,99,99.12
5/19/2020,99.62,99.73,99.23,99.37
5/18/2020,100.36,100.47,99.58,99.67
5/15/2020,100.26,100.49,100.08,100.4
5/14/2020,100.19,100.56,100.15,100.47
5/13/2020,100.01,100.28,99.58,100.24
5/12/2020,100.23,100.44,99.66,99.93
5/11/2020,99.12,100.28,99.67,100.24
5/8/2020,99.84,99.94,99.1,99.73
5/7/2020,100.21,100.4,99.81,99.89
5/6/2020,99.8,100.2,99.75,100.09
5/5/2020,99.51,99.97,99.3,99.71
5/4/2020,98.57,99.6,99.09,99.48
5/1/2020,99.13,99.21,98.65,99.08
4/30/2020,99.48,99.73,98.81,99.02
4/29/2020,99.88,99.89,99.47,99.57
4/28/2020,100.06,100.21,99.45,99.87
4/27/2020,100.23,100.32,99.83,100.04
4/24/2020,100.5,100.87,100.19,100.38
4/23/2020,100.45,100.69,100.04,100.43
4/22/2020,100.21,100.5,99.9,100.39
4/21/2020,99.94,100.48,99.93,100.26
4/20/2020,99.71,100.07,99.65,99.96
4/17/2020,99.86,100.29,99.62,99.78
4/16/2020,99.63,100.3,99.61,100.03
4/15/2020,98.82,99.98,98.82,99.46
4/14/2020,99.38,99.43,98.83,98.89
4/13/2020,99.49,99.63,99.14,99.35
4/10/2020,99.58,99.63,99.37,99.52
4/9/2020,100.13,100.3,99.36,99.52
4/8/2020,99.91,100.43,99.9,100.12
4/7/2020,100.75,100.79,99.77,99.9
4/6/2020,100.66,100.93,100.48,100.69
4/3/2020,100.2,100.85,100.14,100.58
4/2/2020,99.51,100.41,99.34,100.18
4/1/2020,99.01,99.84,98.91,99.67
3/31/2020,99.25,99.95,98.89,99.05
3/30/2020,98.31,99.32,98.29,99.18
3/27/2020,99.29,99.81,98.27,98.37
3/26/2020,100.96,101.02,99.24,99.35
3/25/2020,101.6,101.91,100.84,101.05
3/24/2020,102.13,102.21,101.05,102.04
3/23/2020,101.95,102.98,101.65,102.49
3/20/2020,102.94,102.99,101.09,102.82
3/19/2020,100.79,102.94,100.77,102.76
3/18/2020,99.38,101.74,99.15,101.16
3/17/2020,98.14,99.83,97.98,99.58
3/16/2020,98.7,98.47,97.45,98.07
3/13/2020,97.45,98.81,97.34,98.75
3/12/2020,96.65,98.31,96.08,97.47
3/11/2020,96.33,96.69,95.91,96.51
3/10/2020,95.34,96.58,95.23,96.41
3/9/2020,96.11,95.79,94.65,94.9
3/6/2020,96.61,96.7,95.71,95.95
3/5/2020,97.38,97.44,96.52,96.82
3/4/2020,97.17,97.59,97.12,97.34
3/3/2020,97.56,97.7,96.98,97.15
3/2/2020,98.12,98.09,97.18,97.36
2/28/2020,98.42,98.66,97.96,98.13
2/27/2020,99.02,99.05,98.36,98.51
2/26/2020,99.08,99.27,98.91,99
2/25/2020,99.33,99.39,98.88,98.97
2/24/2020,99.34,99.64,99.11,99.36
2/21/2020,99.86,99.87,99.23,99.26
2/20/2020,99.54,99.91,99.53,99.87
2/19/2020,99.43,99.72,99.38,99.71
2/18/2020,99.19,99.47,99.14,99.44
2/17/2020,99.16,99.21,99.04,99.16
2/14/2020,99.12,99.17,99,99.12
2/13/2020,98.99,99.11,98.85,99.07
2/12/2020,98.77,99.05,98.71,99.05
2/11/2020,98.86,98.95,98.71,98.72
2/10/2020,98.7,98.88,98.6,98.83
2/7/2020,98.46,98.72,98.42,98.7
2/6/2020,98.29,98.57,98.21,98.5
2/5/2020,97.94,98.32,97.9,98.3
2/4/2020,97.82,98.01,97.79,97.96
2/3/2020,97.37,97.89,97.41,97.8
1/31/2020,97.87,97.97,97.35,97.39
1/30/2020,98.03,98.07,97.79,97.87
1/29/2020,97.95,98.19,97.94,97.99
1/28/2020,97.95,98.16,97.9,98.02
1/27/2020,97.88,98,97.78,97.96
1/24/2020,97.72,97.95,97.67,97.85
1/23/2020,97.48,97.8,97.43,97.69
1/22/2020,97.62,97.69,97.44,97.53
1/21/2020,97.63,97.66,97.39,97.53
1/20/2020,97.64,97.73,97.58,97.61
1/17/2020,97.31,97.66,97.27,97.61
1/16/2020,97.18,97.36,97.09,97.32
1/15/2020,97.38,97.44,97.16,97.23
1/14/2020,97.36,97.56,97.33,97.37
1/13/2020,97.35,97.53,97.31,97.35
1/10/2020,97.43,97.58,97.3,97.36
1/9/2020,97.27,97.56,97.25,97.45
1/8/2020,96.83,97.35,96.82,97.3
1/7/2020,96.65,97.09,96.62,97.01
1/6/2020,96.9,96.9,96.54,96.67
1/3/2020,96.79,97.11,96.71,96.84
1/2/2020,96.48,96.87,96.43,96.85
1/1/2020,96.5,97.1,96.42,96.5
12/31/2019,96.73,96.73,96.36,96.39
12/30/2019,97.02,97,96.61,96.74
12/27/2019,97.54,97.55,96.92,96.92
12/26/2019,97.63,97.71,97.49,97.53
12/25/2019,97.67,97.73,96.54,97.44
12/24/2019,97.66,97.8,97.62,97.65
12/23/2019,97.67,97.82,97.58,97.66
12/20/2019,97.4,97.76,97.38,97.69
12/19/2019,97.4,97.49,97.22,97.38
12/18/2019,97.24,97.48,97.22,97.4
12/17/2019,97.14,97.3,97.03,97.22
12/16/2019,97.18,97.16,96.93,97.02
12/13/2019,96.78,97.24,96.72,97.17
12/12/2019,97.08,97.52,96.59,97.4
12/11/2019,97.51,97.6,97.04,97.41
12/10/2019,97.65,97.66,97.4,97.41
12/9/2019,97.68,97.72,97.56,97.64
12/6/2019,97.38,97.84,97.36,97.7
12/5/2019,97.59,97.6,97.36,97.41
12/4/2019,97.71,97.79,97.43,97.65
12/3/2019,97.89,97.94,97.64,97.74
12/2/2019,98.27,98.38,97.81,97.86
11/29/2019,98.35,98.54,98.23,98.27
11/28/2019,98.34,98.4,98.26,98.37
11/27/2019,98.3,98.44,98.28,98.37
11/26/2019,98.33,98.38,98.23,98.25
11/25/2019,98.27,98.38,98.17,98.32
11/22/2019,97.93,98.31,97.84,98.27
