Date,Open,High,Low,Close
11/1/2021,94.14,94.31,93.86,93.88
10/29/2021,93.36,94.3,93.32,94.12
10/28/2021,93.88,93.97,93.28,93.35
10/27/2021,93.97,94.01,93.69,93.8
10/26/2021,93.97,93.97,93.89,93.95
10/25/2021,93.66,93.96,93.48,93.81
10/22/2021,93.75,93.79,93.54,93.64
10/21/2021,93.58,93.79,93.5,93.77
10/20/2021,93.81,93.88,93.54,93.56
10/19/2021,93.95,93.95,93.5,93.73
10/18/2021,93.95,94.17,93.87,93.95
10/15/2021,94.03,93.96,93.96,93.96
10/14/2021,94.02,94.08,94.08,94.08
10/13/2021,94.52,94.53,94,94.08
10/12/2021,94.37,94.56,94.23,94.52
10/11/2021,94.1,94.4,94.03,94.32
10/8/2021,94.21,94.34,93.94,94.07
10/7/2021,94.23,94.28,94.08,94.22
10/6/2021,93.99,94.45,93.98,94.27
10/5/2021,93.83,94.07,93.81,93.98
10/4/2021,94.05,94.1,93.68,93.78
10/1/2021,94.31,94.39,93.99,94.04
9/30/2021,94.35,94.5,94.11,94.23
9/29/2021,93.72,94.43,93.67,94.34
9/28/2021,93.41,93.81,93.36,93.77
9/27/2021,93.28,93.49,93.21,93.38
9/24/2021,93.07,93.42,93.05,93.33
9/23/2021,93.48,93.52,92.98,93.46
9/22/2021,93.23,93.51,92.99,93.46
9/21/2021,93.24,93.29,93.05,93.2
9/20/2021,93.25,93.45,93.19,93.28
9/17/2021,92.88,93.25,92.77,93.2
9/16/2021,92.46,92.96,92.46,92.93
9/15/2021,92.68,92.68,92.42,92.55
9/14/2021,92.62,92.68,92.32,92.62
9/13/2021,92.61,92.89,92.57,92.68
9/10/2021,92.53,92.65,92.33,92.58
9/9/2021,92.71,92.76,92.38,92.48
9/8/2021,92.54,92.86,92.47,92.65
9/7/2021,92.2,92.57,92.1,92.51
9/6/2021,92.13,92.31,92.1,92.22
9/3/2021,92.22,92.26,91.95,92.04
9/2/2021,92.51,92.54,92.21,92.23
9/1/2021,92.66,92.79,92.38,92.45
8/31/2021,92.71,92.75,92.4,92.63
8/30/2021,92.7,92.79,92.6,92.65
8/27/2021,93.03,93.18,92.63,92.69
8/26/2021,92.83,93.08,92.81,93.06
